hospital,ccn,cbsa,participation,start_date,end_date
KAISER FOUNDATION HOSPITAL-SANTA ROSA,050690,Santa Rosa–Petaluma,Mandatory,01/01/2026,12/31/2030
SOUTHWEST HEALTHCARE RANCHO SPRINGS HOSPITAL,050701,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
DESERT VALLEY HOSPITAL,050709,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
MONTCLAIR HOSPITAL MEDICAL CENTER,050758,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - ANTIOCH,050760,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,050765,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,050770,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
TEMECULA VALLEY HOSPITAL,050775,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,050777,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,050778,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - SAN MARCOS,050855,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
